ID,Tx,Ty,Tz,Q0,Qx,Qy,Qz,flip,origion
105193,21.4,134.98,-1857.85,0.7067,-0.0101,-0.705,0.0107,0,1
105194,21.3,155.88,-1871.6,0.6758,-0.2155,-0.6723,0.2144,0,1
105197,22.22,100.58,-1877.88,0.6323,0.3088,-0.6434,-0.3015,1,1
105198,117.31,133.88,-1863.23,0.6913,0.0472,-0.7198,0.0366,1,1
105199,21.79,161.21,-1869.55,0.658,-0.2334,-0.6715,0.2485,1,1
105201,22.3,94.98,-1875,0.6183,0.3359,-0.6301,-0.3288,0,1
105202,22.09,132.22,-1856.86,0.7083,0.0234,-0.7055,-0.0235,0,1
105203,21.77,153.9,-1869.49,0.6843,-0.1904,-0.678,0.1875,0,1
105207,22.31,108.31,-1872.11,0.6448,0.2793,-0.658,-0.271,1,1
105208,22.07,129.65,-1848.68,0.7011,0.0115,-0.7134,0.002,1,1
105209,22.37,98.78,-1867.7,0.6221,0.327,-0.6354,-0.32,1,1
105212,22.3,19.7,-1862.4,0.6402,-0.305,-0.6381,0.2996,0,2
105213,22.48,-7.8,-1852.22,0.7026,-0.114,-0.6932,0.1123,0,2
105214,22.85,-27.75,-1858.51,0.6992,0.1012,-0.7003,-0.101,0,2
105215,23.13,-47.5,-1862.48,0.6462,0.2953,-0.6388,-0.2954,0,2
105219,22.53,14.28,-1853.09,0.6218,-0.3182,-0.6326,0.3342,1,2
105220,22.63,2.48,-1853.16,0.6795,-0.164,-0.6932,0.1779,1,2
105221,22.74,-18.95,-1843.44,0.7011,-0.0114,-0.7124,0.0252,1,2
105222,22.9,-32.41,-1853.3,0.6802,0.1764,-0.6912,-0.1677,1,2
105223,23.04,-51.76,-1861.4,0.63,0.314,-0.6405,-0.3073,1,2
105228,22.35,9.11,-1855.43,0.6754,-0.2242,-0.667,0.2202,0,2
105229,22.5,-8.88,-1846.7,0.7021,-0.1174,-0.693,0.1159,0,2
105230,22.65,-16.41,-1843.81,0.7071,-0.0619,-0.7015,0.0615,0,2
105231,23.01,-37.14,-1851.95,0.6876,0.1616,-0.689,-0.1609,0,2
105232,23.25,-54.53,-1860.76,0.6453,0.2967,-0.6384,-0.2966,0,2
105235,22.65,21.06,-1867.78,0.6056,-0.3498,-0.6145,0.3654,1,2
105236,22.7,8.53,-1855.23,0.6643,-0.2165,-0.6777,0.2307,1,2
105237,22.75,-0.81,-1850.75,0.6834,-0.1431,-0.6981,0.1569,1,2
105238,22.95,-19.85,-1853.36,0.6999,0.0334,-0.7136,-0.0212,1,2
105239,23.08,-40.88,-1857.51,0.6545,0.2586,-0.6648,-0.2512,1,2
105242,22.45,10.35,-1863.94,0.663,-0.2571,-0.6564,0.2527,0,2
105243,22.84,-17.15,-1854.92,0.7098,0.0059,-0.7046,-0.0063,0,2
105244,23.03,-33.13,-1852.94,0.6907,0.1485,-0.6924,-0.1478,0,2
105245,23.36,-51.79,-1869.1,0.6284,0.3334,-0.6189,-0.3334,0,2
105248,22.7,15.14,-1857.74,0.6427,-0.274,-0.6546,0.2891,1,2
105249,22.9,-7.5,-1846.87,0.6918,-0.1009,-0.7058,0.1142,1,2
105250,18.75,-23.43,-1847.53,0.6913,0.0235,-0.7203,0.0542,1,2
105251,23.12,-37.79,-1846.91,0.684,0.1609,-0.6958,-0.151,1,2
105252,23.25,-50.05,-1853.99,0.6433,0.285,-0.6544,-0.2776,1,2
105255,22.55,14.5,-1861.6,0.6514,-0.2833,-0.6458,0.2785,0,2
105256,22.8,-0.4,-1852.74,0.6976,-0.1463,-0.6871,0.1436,0,2
105257,23.01,-17.49,-1847.26,0.7109,-0.0193,-0.7034,0.0194,0,2
105258,23.3,-39.96,-1846.23,0.6856,0.1735,-0.6853,-0.1732,0,2
105259,23.1,-19.38,-1851.26,0.7092,0.0192,-0.7043,-0.0189,0,2
105260,22.78,2.16,-1856.54,0.6957,-0.1542,-0.6848,0.1517,0,2
105261,22.65,16.74,-1868.15,0.6295,-0.3273,-0.6275,0.3205,0,2
105263,23.44,-49.29,-1867.63,0.6159,0.3403,-0.6266,-0.3344,1,2
105264,23.33,-40.27,-1861.88,0.6655,0.2297,-0.6754,-0.2215,1,2
105265,23.15,-21.05,-1847.88,0.6999,0.0434,-0.7125,-0.0325,1,2
105266,22.99,7.54,-1858.25,0.6745,-0.1835,-0.6875,0.1975,1,2
105269,23.62,-57.45,-1871.2,0.6289,0.3315,-0.6195,-0.3318,0,2
105270,23.02,-16.62,-1850.11,0.7106,-0.016,-0.7035,0.015,0,2
105271,22.8,2.4,-1865.99,0.677,-0.221,-0.6677,0.2175,0,2
105272,22.67,13.4,-1867.44,0.6455,-0.2953,-0.6415,0.289,0,2
105274,23.4,-52.99,-1863.25,0.6205,0.3305,-0.6323,-0.3245,1,2
105275,23.33,-43.65,-1857.99,0.6622,0.2375,-0.6725,-0.2292,1,2
105276,23.12,-17.4,-1848.44,0.6999,0.0345,-0.7133,-0.0225,1,2
105277,23.05,-4.25,-1857.99,0.6815,-0.1565,-0.6945,0.1705,1,2
105278,22.99,21.9,-1878.4,0.6215,-0.32,-0.6315,0.3357,1,2
105282,23.56,-51.25,-1876.14,0.6357,0.3195,-0.6257,-0.3194,0,2
105283,23.22,-32.41,-1851.9,0.703,0.0765,-0.702,-0.076,0,2
105284,23.16,-25.32,-1851.67,0.7083,0.0245,-0.7045,-0.0236,0,2
105285,23.15,-19.68,-1862.22,0.71,0.002,-0.7045,-0.002,0,2
105286,22.78,2.73,-1864.65,0.6725,-0.2342,-0.6638,0.2302,0,2
105287,22.75,16.06,-1878.38,0.6286,-0.329,-0.6266,0.3222,0,2
105290,23.21,-20.44,-1850,0.7015,0.0015,-0.7125,0.0115,1,2
105291,23.03,3.8,-1857.62,0.6709,-0.1955,-0.684,0.2095,1,2
105292,23.03,17.22,-1881.22,0.6115,-0.339,-0.6205,0.3545,1,2
105295,23.6,-50.45,-1875.66,0.6395,0.3112,-0.63,-0.3115,0,2
105296,23.25,-27.36,-1855.6,0.7085,0.0457,-0.7035,-0.0455,0,2
105297,22.84,1.97,-1862.7,0.6865,-0.1899,-0.6768,0.1865,0,2
105298,22.78,10.69,-1872.65,0.6574,-0.2703,-0.651,0.2655,0,2
105301,23.35,-36.31,-1856.22,0.6822,0.1693,-0.6933,-0.16,1,2
105302,23.16,-6.59,-1861.66,0.6875,-0.1286,-0.7,0.1425,1,2
105304,23.6,-51.17,-1871.39,0.6389,0.3132,-0.6293,-0.3126,0,2
105305,23.17,-21.83,-1853.06,0.7086,0.0245,-0.705,-0.0249,0,2
105306,23,-10.61,-1862.15,0.6985,-0.139,-0.6884,0.1369,0,2
105307,23.03,21.39,-1879.68,0.5912,-0.3741,-0.5992,0.3898,0,2
142979,22.73,7.45,-1855.12,0.6683,-0.2464,-0.6592,0.2419,0,2
142980,22.99,-9.66,-1847.3,0.7082,-0.0654,-0.7,0.0643,0,2
142981,23.31,-31.94,-1851.92,0.6889,0.1631,-0.688,-0.1625,0,2
142984,23.01,22.92,-1864.97,0.6198,-0.3235,-0.63,0.3386,1,2
142985,23.09,6.75,-1854.33,0.6704,-0.198,-0.6833,0.2117,1,2
142986,23.1,0.23,-1847.47,0.6894,-0.1157,-0.7034,0.1285,1,2
142987,19,-22.9,-1853.61,0.6878,0.0742,-0.7222,0.0011,1,2
142988,23.54,-51.76,-1865.05,0.6298,0.3125,-0.6422,-0.3062,1,2
142991,22.83,9.32,-1861.85,0.6626,-0.2593,-0.6555,0.2544,0,2
142992,23.09,-14.85,-1847.47,0.7076,-0.0778,-0.6985,0.0761,0,2
142993,23.39,-33.39,-1850.15,0.692,0.1423,-0.6928,-0.1417,0,2
142994,23.55,-42.78,-1859.22,0.6588,0.2655,-0.652,-0.2654,0,2
142997,23.08,17.54,-1862.98,0.6208,-0.3202,-0.6316,0.3367,1,2
142998,23.14,2.56,-1850.62,0.6871,-0.1268,-0.7016,0.1405,1,2
142999,23.46,-36.69,-1849.06,0.6874,0.1416,-0.7005,-0.1317,1,2
143000,23.62,-52,-1864.83,0.6152,0.3412,-0.6271,-0.3351,1,2
143003,22.9,4.12,-1855.09,0.6887,-0.1832,-0.6785,0.1795,0,2
143004,23.19,-17.95,-1848.21,0.7113,-0.0209,-0.7023,0.0208,0,2
143005,23.45,-35.48,-1856.98,0.6842,0.1773,-0.6851,-0.1762,0,2
143009,23.09,14.06,-1857.56,0.6463,-0.2648,-0.6583,0.2797,1,2
143010,23.2,-7.48,-1848.75,0.6852,-0.1355,-0.6999,0.1495,1,2